ward_number,municipality,district,province
1,Shadanand Municipality,Bhojpur,Koshi Province
2,Shadanand Municipality,Bhojpur,Koshi Province
3,Shadanand Municipality,Bhojpur,Koshi Province
4,Shadanand Municipality,Bhojpur,Koshi Province
5,Shadanand Municipality,Bhojpur,Koshi Province
6,Shadanand Municipality,Bhojpur,Koshi Province
7,Shadanand Municipality,Bhojpur,Koshi Province
8,Shadanand Municipality,Bhojpur,Koshi Province
9,Shadanand Municipality,Bhojpur,Koshi Province
10,Shadanand Municipality,Bhojpur,Koshi Province
11,Shadanand Municipality,Bhojpur,Koshi Province
12,Shadanand Municipality,Bhojpur,Koshi Province
13,Shadanand Municipality,Bhojpur,Koshi Province
14,Shadanand Municipality,Bhojpur,Koshi Province
1,Bhojpur Municipality,Bhojpur,Koshi Province
2,Bhojpur Municipality,Bhojpur,Koshi Province
3,Bhojpur Municipality,Bhojpur,Koshi Province
4,Bhojpur Municipality,Bhojpur,Koshi Province
5,Bhojpur Municipality,Bhojpur,Koshi Province
6,Bhojpur Municipality,Bhojpur,Koshi Province
7,Bhojpur Municipality,Bhojpur,Koshi Province
8,Bhojpur Municipality,Bhojpur,Koshi Province
9,Bhojpur Municipality,Bhojpur,Koshi Province
10,Bhojpur Municipality,Bhojpur,Koshi Province
11,Bhojpur Municipality,Bhojpur,Koshi Province
12,Bhojpur Municipality,Bhojpur,Koshi Province
1,Hatuwagadhi Rural Municipality,Bhojpur,Koshi Province
2,Hatuwagadhi Rural Municipality,Bhojpur,Koshi Province
3,Hatuwagadhi Rural Municipality,Bhojpur,Koshi Province
4,Hatuwagadhi Rural Municipality,Bhojpur,Koshi Province
5,Hatuwagadhi Rural Municipality,Bhojpur,Koshi Province
6,Hatuwagadhi Rural Municipality,Bhojpur,Koshi Province
7,Hatuwagadhi Rural Municipality,Bhojpur,Koshi Province
8,Hatuwagadhi Rural Municipality,Bhojpur,Koshi Province
9,Hatuwagadhi Rural Municipality,Bhojpur,Koshi Province
1,Ramprasad Rai Rural Municipality,Bhojpur,Koshi Province
2,Ramprasad Rai Rural Municipality,Bhojpur,Koshi Province
3,Ramprasad Rai Rural Municipality,Bhojpur,Koshi Province
4,Ramprasad Rai Rural Municipality,Bhojpur,Koshi Province
5,Ramprasad Rai Rural Municipality,Bhojpur,Koshi Province
6,Ramprasad Rai Rural Municipality,Bhojpur,Koshi Province
7,Ramprasad Rai Rural Municipality,Bhojpur,Koshi Province
8,Ramprasad Rai Rural Municipality,Bhojpur,Koshi Province
1,Aamchok Rural Municipality,Bhojpur,Koshi Province
2,Aamchok Rural Municipality,Bhojpur,Koshi Province
3,Aamchok Rural Municipality,Bhojpur,Koshi Province
4,Aamchok Rural Municipality,Bhojpur,Koshi Province
5,Aamchok Rural Municipality,Bhojpur,Koshi Province
6,Aamchok Rural Municipality,Bhojpur,Koshi Province
7,Aamchok Rural Municipality,Bhojpur,Koshi Province
8,Aamchok Rural Municipality,Bhojpur,Koshi Province
9,Aamchok Rural Municipality,Bhojpur,Koshi Province
10,Aamchok Rural Municipality,Bhojpur,Koshi Province
1,Tyamke Maiyum Rural Municipality,Bhojpur,Koshi Province
2,Tyamke Maiyum Rural Municipality,Bhojpur,Koshi Province
3,Tyamke Maiyum Rural Municipality,Bhojpur,Koshi Province
4,Tyamke Maiyum Rural Municipality,Bhojpur,Koshi Province
5,Tyamke Maiyum Rural Municipality,Bhojpur,Koshi Province
6,Tyamke Maiyum Rural Municipality,Bhojpur,Koshi Province
7,Tyamke Maiyum Rural Municipality,Bhojpur,Koshi Province
8,Tyamke Maiyum Rural Municipality,Bhojpur,Koshi Province
9,Tyamke Maiyum Rural Municipality,Bhojpur,Koshi Province
1,Arun Rural Municipality,Bhojpur,Koshi Province
2,Arun Rural Municipality,Bhojpur,Koshi Province
3,Arun Rural Municipality,Bhojpur,Koshi Province
4,Arun Rural Municipality,Bhojpur,Koshi Province
5,Arun Rural Municipality,Bhojpur,Koshi Province
6,Arun Rural Municipality,Bhojpur,Koshi Province
7,Arun Rural Municipality,Bhojpur,Koshi Province
1,Pauwadungma Rural Municipality,Bhojpur,Koshi Province
2,Pauwadungma Rural Municipality,Bhojpur,Koshi Province
3,Pauwadungma Rural Municipality,Bhojpur,Koshi Province
4,Pauwadungma Rural Municipality,Bhojpur,Koshi Province
5,Pauwadungma Rural Municipality,Bhojpur,Koshi Province
6,Pauwadungma Rural Municipality,Bhojpur,Koshi Province
1,Salpasilichho Rural Municipality,Bhojpur,Koshi Province
2,Salpasilichho Rural Municipality,Bhojpur,Koshi Province
3,Salpasilichho Rural Municipality,Bhojpur,Koshi Province
4,Salpasilichho Rural Municipality,Bhojpur,Koshi Province
5,Salpasilichho Rural Municipality,Bhojpur,Koshi Province
6,Salpasilichho Rural Municipality,Bhojpur,Koshi Province
1,Dhankuta Municipality,Dhankuta,Koshi Province
2,Dhankuta Municipality,Dhankuta,Koshi Province
3,Dhankuta Municipality,Dhankuta,Koshi Province
4,Dhankuta Municipality,Dhankuta,Koshi Province
5,Dhankuta Municipality,Dhankuta,Koshi Province
6,Dhankuta Municipality,Dhankuta,Koshi Province
7,Dhankuta Municipality,Dhankuta,Koshi Province
8,Dhankuta Municipality,Dhankuta,Koshi Province
9,Dhankuta Municipality,Dhankuta,Koshi Province
10,Dhankuta Municipality,Dhankuta,Koshi Province
1,Pakhribas Municipality,Dhankuta,Koshi Province
2,Pakhribas Municipality,Dhankuta,Koshi Province
3,Pakhribas Municipality,Dhankuta,Koshi Province
4,Pakhribas Municipality,Dhankuta,Koshi Province
5,Pakhribas Municipality,Dhankuta,Koshi Province
6,Pakhribas Municipality,Dhankuta,Koshi Province
7,Pakhribas Municipality,Dhankuta,Koshi Province
8,Pakhribas Municipality,Dhankuta,Koshi Province
9,Pakhribas Municipality,Dhankuta,Koshi Province
10,Pakhribas Municipality,Dhankuta,Koshi Province
1,Mahalaxmi Municipality,Dhankuta,Koshi Province
2,Mahalaxmi Municipality,Dhankuta,Koshi Province
3,Mahalaxmi Municipality,Dhankuta,Koshi Province
4,Mahalaxmi Municipality,Dhankuta,Koshi Province
5,Mahalaxmi Municipality,Dhankuta,Koshi Province
6,Mahalaxmi Municipality,Dhankuta,Koshi Province
7,Mahalaxmi Municipality,Dhankuta,Koshi Province
8,Mahalaxmi Municipality,Dhankuta,Koshi Province
9,Mahalaxmi Municipality,Dhankuta,Koshi Province
1,Sangurigadhi Rural Municipality,Dhankuta,Koshi Province
2,Sangurigadhi Rural Municipality,Dhankuta,Koshi Province
3,Sangurigadhi Rural Municipality,Dhankuta,Koshi Province
4,Sangurigadhi Rural Municipality,Dhankuta,Koshi Province
5,Sangurigadhi Rural Municipality,Dhankuta,Koshi Province
6,Sangurigadhi Rural Municipality,Dhankuta,Koshi Province
7,Sangurigadhi Rural Municipality,Dhankuta,Koshi Province
8,Sangurigadhi Rural Municipality,Dhankuta,Koshi Province
9,Sangurigadhi Rural Municipality,Dhankuta,Koshi Province
10,Sangurigadhi Rural Municipality,Dhankuta,Koshi Province
1,Chaubise Rural Municipality,Dhankuta,Koshi Province
2,Chaubise Rural Municipality,Dhankuta,Koshi Province
3,Chaubise Rural Municipality,Dhankuta,Koshi Province
4,Chaubise Rural Municipality,Dhankuta,Koshi Province
5,Chaubise Rural Municipality,Dhankuta,Koshi Province
6,Chaubise Rural Municipality,Dhankuta,Koshi Province
7,Chaubise Rural Municipality,Dhankuta,Koshi Province
8,Chaubise Rural Municipality,Dhankuta,Koshi Province
1,Sahidbhumi Rural Municipality,Dhankuta,Koshi Province
2,Sahidbhumi Rural Municipality,Dhankuta,Koshi Province
3,Sahidbhumi Rural Municipality,Dhankuta,Koshi Province
4,Sahidbhumi Rural Municipality,Dhankuta,Koshi Province
5,Sahidbhumi Rural Municipality,Dhankuta,Koshi Province
6,Sahidbhumi Rural Municipality,Dhankuta,Koshi Province
7,Sahidbhumi Rural Municipality,Dhankuta,Koshi Province
1,Chhathar Jorpati Rural Municipality,Dhankuta,Koshi Province
2,Chhathar Jorpati Rural Municipality,Dhankuta,Koshi Province
3,Chhathar Jorpati Rural Municipality,Dhankuta,Koshi Province
4,Chhathar Jorpati Rural Municipality,Dhankuta,Koshi Province
5,Chhathar Jorpati Rural Municipality,Dhankuta,Koshi Province
6,Chhathar Jorpati Rural Municipality,Dhankuta,Koshi Province
1,Suryodaya Municipality,Ilam,Koshi Province
2,Suryodaya Municipality,Ilam,Koshi Province
3,Suryodaya Municipality,Ilam,Koshi Province
4,Suryodaya Municipality,Ilam,Koshi Province
5,Suryodaya Municipality,Ilam,Koshi Province
6,Suryodaya Municipality,Ilam,Koshi Province
7,Suryodaya Municipality,Ilam,Koshi Province
8,Suryodaya Municipality,Ilam,Koshi Province
9,Suryodaya Municipality,Ilam,Koshi Province
10,Suryodaya Municipality,Ilam,Koshi Province
11,Suryodaya Municipality,Ilam,Koshi Province
12,Suryodaya Municipality,Ilam,Koshi Province
13,Suryodaya Municipality,Ilam,Koshi Province
14,Suryodaya Municipality,Ilam,Koshi Province
1,Ilam Municipality,Ilam,Koshi Province
2,Ilam Municipality,Ilam,Koshi Province
3,Ilam Municipality,Ilam,Koshi Province
4,Ilam Municipality,Ilam,Koshi Province
5,Ilam Municipality,Ilam,Koshi Province
6,Ilam Municipality,Ilam,Koshi Province
7,Ilam Municipality,Ilam,Koshi Province
8,Ilam Municipality,Ilam,Koshi Province
9,Ilam Municipality,Ilam,Koshi Province
10,Ilam Municipality,Ilam,Koshi Province
11,Ilam Municipality,Ilam,Koshi Province
12,Ilam Municipality,Ilam,Koshi Province
1,Deumai Municipality,Ilam,Koshi Province
2,Deumai Municipality,Ilam,Koshi Province
3,Deumai Municipality,Ilam,Koshi Province
4,Deumai Municipality,Ilam,Koshi Province
5,Deumai Municipality,Ilam,Koshi Province
6,Deumai Municipality,Ilam,Koshi Province
7,Deumai Municipality,Ilam,Koshi Province
8,Deumai Municipality,Ilam,Koshi Province
9,Deumai Municipality,Ilam,Koshi Province
1,Maijogmai Rural Municipality,Ilam,Koshi Province
2,Maijogmai Rural Municipality,Ilam,Koshi Province
3,Maijogmai Rural Municipality,Ilam,Koshi Province
4,Maijogmai Rural Municipality,Ilam,Koshi Province
5,Maijogmai Rural Municipality,Ilam,Koshi Province
6,Maijogmai Rural Municipality,Ilam,Koshi Province
1,Phakphokthum Rural Municipality,Ilam,Koshi Province
2,Phakphokthum Rural Municipality,Ilam,Koshi Province
3,Phakphokthum Rural Municipality,Ilam,Koshi Province
4,Phakphokthum Rural Municipality,Ilam,Koshi Province
5,Phakphokthum Rural Municipality,Ilam,Koshi Province
6,Phakphokthum Rural Municipality,Ilam,Koshi Province
7,Phakphokthum Rural Municipality,Ilam,Koshi Province
1,Mai Municipality,Ilam,Koshi Province
2,Mai Municipality,Ilam,Koshi Province
3,Mai Municipality,Ilam,Koshi Province
4,Mai Municipality,Ilam,Koshi Province
5,Mai Municipality,Ilam,Koshi Province
6,Mai Municipality,Ilam,Koshi Province
7,Mai Municipality,Ilam,Koshi Province
8,Mai Municipality,Ilam,Koshi Province
9,Mai Municipality,Ilam,Koshi Province
10,Mai Municipality,Ilam,Koshi Province
1,Chulachuli Rural Municipality,Ilam,Koshi Province
2,Chulachuli Rural Municipality,Ilam,Koshi Province
3,Chulachuli Rural Municipality,Ilam,Koshi Province
4,Chulachuli Rural Municipality,Ilam,Koshi Province
5,Chulachuli Rural Municipality,Ilam,Koshi Province
6,Chulachuli Rural Municipality,Ilam,Koshi Province
1,Rong Rural Municipality,Ilam,Koshi Province
2,Rong Rural Municipality,Ilam,Koshi Province
3,Rong Rural Municipality,Ilam,Koshi Province
4,Rong Rural Municipality,Ilam,Koshi Province
5,Rong Rural Municipality,Ilam,Koshi Province
6,Rong Rural Municipality,Ilam,Koshi Province
1,Mangsebung Rural Municipality,Ilam,Koshi Province
2,Mangsebung Rural Municipality,Ilam,Koshi Province
3,Mangsebung Rural Municipality,Ilam,Koshi Province
4,Mangsebung Rural Municipality,Ilam,Koshi Province
5,Mangsebung Rural Municipality,Ilam,Koshi Province
6,Mangsebung Rural Municipality,Ilam,Koshi Province
1,Sandakpur Rural Municipality,Ilam,Koshi Province
2,Sandakpur Rural Municipality,Ilam,Koshi Province
3,Sandakpur Rural Municipality,Ilam,Koshi Province
4,Sandakpur Rural Municipality,Ilam,Koshi Province
5,Sandakpur Rural Municipality,Ilam,Koshi Province
1,Mechinagar Municipality,Jhapa,Koshi Province
2,Mechinagar Municipality,Jhapa,Koshi Province
3,Mechinagar Municipality,Jhapa,Koshi Province
4,Mechinagar Municipality,Jhapa,Koshi Province
5,Mechinagar Municipality,Jhapa,Koshi Province
6,Mechinagar Municipality,Jhapa,Koshi Province
7,Mechinagar Municipality,Jhapa,Koshi Province
8,Mechinagar Municipality,Jhapa,Koshi Province
9,Mechinagar Municipality,Jhapa,Koshi Province
10,Mechinagar Municipality,Jhapa,Koshi Province
11,Mechinagar Municipality,Jhapa,Koshi Province
12,Mechinagar Municipality,Jhapa,Koshi Province
13,Mechinagar Municipality,Jhapa,Koshi Province
14,Mechinagar Municipality,Jhapa,Koshi Province
15,Mechinagar Municipality,Jhapa,Koshi Province
1,Birtamod Municipality,Jhapa,Koshi Province
2,Birtamod Municipality,Jhapa,Koshi Province
3,Birtamod Municipality,Jhapa,Koshi Province
4,Birtamod Municipality,Jhapa,Koshi Province
5,Birtamod Municipality,Jhapa,Koshi Province
6,Birtamod Municipality,Jhapa,Koshi Province
7,Birtamod Municipality,Jhapa,Koshi Province
8,Birtamod Municipality,Jhapa,Koshi Province
9,Birtamod Municipality,Jhapa,Koshi Province
10,Birtamod Municipality,Jhapa,Koshi Province
1,Damak Municipality,Jhapa,Koshi Province
2,Damak Municipality,Jhapa,Koshi Province
3,Damak Municipality,Jhapa,Koshi Province
4,Damak Municipality,Jhapa,Koshi Province
5,Damak Municipality,Jhapa,Koshi Province
6,Damak Municipality,Jhapa,Koshi Province
7,Damak Municipality,Jhapa,Koshi Province
8,Damak Municipality,Jhapa,Koshi Province
9,Damak Municipality,Jhapa,Koshi Province
10,Damak Municipality,Jhapa,Koshi Province
1,Bhadrapur Municipality,Jhapa,Koshi Province
2,Bhadrapur Municipality,Jhapa,Koshi Province
3,Bhadrapur Municipality,Jhapa,Koshi Province
4,Bhadrapur Municipality,Jhapa,Koshi Province
5,Bhadrapur Municipality,Jhapa,Koshi Province
6,Bhadrapur Municipality,Jhapa,Koshi Province
7,Bhadrapur Municipality,Jhapa,Koshi Province
8,Bhadrapur Municipality,Jhapa,Koshi Province
9,Bhadrapur Municipality,Jhapa,Koshi Province
10,Bhadrapur Municipality,Jhapa,Koshi Province
1,Shivasatakshi Municipality,Jhapa,Koshi Province
2,Shivasatakshi Municipality,Jhapa,Koshi Province
3,Shivasatakshi Municipality,Jhapa,Koshi Province
4,Shivasatakshi Municipality,Jhapa,Koshi Province
5,Shivasatakshi Municipality,Jhapa,Koshi Province
6,Shivasatakshi Municipality,Jhapa,Koshi Province
7,Shivasatakshi Municipality,Jhapa,Koshi Province
8,Shivasatakshi Municipality,Jhapa,Koshi Province
9,Shivasatakshi Municipality,Jhapa,Koshi Province
10,Shivasatakshi Municipality,Jhapa,Koshi Province
11,Shivasatakshi Municipality,Jhapa,Koshi Province
1,Arjundhara Municipality,Jhapa,Koshi Province
2,Arjundhara Municipality,Jhapa,Koshi Province
3,Arjundhara Municipality,Jhapa,Koshi Province
4,Arjundhara Municipality,Jhapa,Koshi Province
5,Arjundhara Municipality,Jhapa,Koshi Province
6,Arjundhara Municipality,Jhapa,Koshi Province
7,Arjundhara Municipality,Jhapa,Koshi Province
8,Arjundhara Municipality,Jhapa,Koshi Province
9,Arjundhara Municipality,Jhapa,Koshi Province
10,Arjundhara Municipality,Jhapa,Koshi Province
11,Arjundhara Municipality,Jhapa,Koshi Province
1,Gauradaha Municipality,Jhapa,Koshi Province
2,Gauradaha Municipality,Jhapa,Koshi Province
3,Gauradaha Municipality,Jhapa,Koshi Province
4,Gauradaha Municipality,Jhapa,Koshi Province
5,Gauradaha Municipality,Jhapa,Koshi Province
6,Gauradaha Municipality,Jhapa,Koshi Province
7,Gauradaha Municipality,Jhapa,Koshi Province
8,Gauradaha Municipality,Jhapa,Koshi Province
9,Gauradaha Municipality,Jhapa,Koshi Province
1,Kankai Municipality,Jhapa,Koshi Province
2,Kankai Municipality,Jhapa,Koshi Province
3,Kankai Municipality,Jhapa,Koshi Province
4,Kankai Municipality,Jhapa,Koshi Province
5,Kankai Municipality,Jhapa,Koshi Province
6,Kankai Municipality,Jhapa,Koshi Province
7,Kankai Municipality,Jhapa,Koshi Province
8,Kankai Municipality,Jhapa,Koshi Province
9,Kankai Municipality,Jhapa,Koshi Province
1,Kamal Rural Municipality,Jhapa,Koshi Province
2,Kamal Rural Municipality,Jhapa,Koshi Province
3,Kamal Rural Municipality,Jhapa,Koshi Province
4,Kamal Rural Municipality,Jhapa,Koshi Province
5,Kamal Rural Municipality,Jhapa,Koshi Province
6,Kamal Rural Municipality,Jhapa,Koshi Province
7,Kamal Rural Municipality,Jhapa,Koshi Province
1,Buddha Shanti Rural Municipality,Jhapa,Koshi Province
2,Buddha Shanti Rural Municipality,Jhapa,Koshi Province
3,Buddha Shanti Rural Municipality,Jhapa,Koshi Province
4,Buddha Shanti Rural Municipality,Jhapa,Koshi Province
5,Buddha Shanti Rural Municipality,Jhapa,Koshi Province
6,Buddha Shanti Rural Municipality,Jhapa,Koshi Province
7,Buddha Shanti Rural Municipality,Jhapa,Koshi Province
1,Kachankawal Rural Municipality,Jhapa,Koshi Province
2,Kachankawal Rural Municipality,Jhapa,Koshi Province
3,Kachankawal Rural Municipality,Jhapa,Koshi Province
4,Kachankawal Rural Municipality,Jhapa,Koshi Province
5,Kachankawal Rural Municipality,Jhapa,Koshi Province
6,Kachankawal Rural Municipality,Jhapa,Koshi Province
7,Kachankawal Rural Municipality,Jhapa,Koshi Province
1,Jhapa Rural Municipality,Jhapa,Koshi Province
2,Jhapa Rural Municipality,Jhapa,Koshi Province
3,Jhapa Rural Municipality,Jhapa,Koshi Province
4,Jhapa Rural Municipality,Jhapa,Koshi Province
5,Jhapa Rural Municipality,Jhapa,Koshi Province
6,Jhapa Rural Municipality,Jhapa,Koshi Province
7,Jhapa Rural Municipality,Jhapa,Koshi Province
1,Barhadashi Rural Municipality,Jhapa,Koshi Province
2,Barhadashi Rural Municipality,Jhapa,Koshi Province
3,Barhadashi Rural Municipality,Jhapa,Koshi Province
4,Barhadashi Rural Municipality,Jhapa,Koshi Province
5,Barhadashi Rural Municipality,Jhapa,Koshi Province
6,Barhadashi Rural Municipality,Jhapa,Koshi Province
7,Barhadashi Rural Municipality,Jhapa,Koshi Province
1,Gaurigunj Rural Municipality,Jhapa,Koshi Province
2,Gaurigunj Rural Municipality,Jhapa,Koshi Province
3,Gaurigunj Rural Municipality,Jhapa,Koshi Province
4,Gaurigunj Rural Municipality,Jhapa,Koshi Province
5,Gaurigunj Rural Municipality,Jhapa,Koshi Province
6,Gaurigunj Rural Municipality,Jhapa,Koshi Province
1,Haldibari Rural Municipality,Jhapa,Koshi Province
2,Haldibari Rural Municipality,Jhapa,Koshi Province
3,Haldibari Rural Municipality,Jhapa,Koshi Province
4,Haldibari Rural Municipality,Jhapa,Koshi Province
5,Haldibari Rural Municipality,Jhapa,Koshi Province
1,Diktel Rupakot Majhuwagadhi Municipality,Khotang,Koshi Province
2,Diktel Rupakot Majhuwagadhi Municipality,Khotang,Koshi Province
3,Diktel Rupakot Majhuwagadhi Municipality,Khotang,Koshi Province
4,Diktel Rupakot Majhuwagadhi Municipality,Khotang,Koshi Province
5,Diktel Rupakot Majhuwagadhi Municipality,Khotang,Koshi Province
6,Diktel Rupakot Majhuwagadhi Municipality,Khotang,Koshi Province
7,Diktel Rupakot Majhuwagadhi Municipality,Khotang,Koshi Province
8,Diktel Rupakot Majhuwagadhi Municipality,Khotang,Koshi Province
9,Diktel Rupakot Majhuwagadhi Municipality,Khotang,Koshi Province
10,Diktel Rupakot Majhuwagadhi Municipality,Khotang,Koshi Province
11,Diktel Rupakot Majhuwagadhi Municipality,Khotang,Koshi Province
12,Diktel Rupakot Majhuwagadhi Municipality,Khotang,Koshi Province
13,Diktel Rupakot Majhuwagadhi Municipality,Khotang,Koshi Province
14,Diktel Rupakot Majhuwagadhi Municipality,Khotang,Koshi Province
15,Diktel Rupakot Majhuwagadhi Municipality,Khotang,Koshi Province
1,Halesi Tuwachung Municipality,Khotang,Koshi Province
2,Halesi Tuwachung Municipality,Khotang,Koshi Province
3,Halesi Tuwachung Municipality,Khotang,Koshi Province
4,Halesi Tuwachung Municipality,Khotang,Koshi Province
5,Halesi Tuwachung Municipality,Khotang,Koshi Province
6,Halesi Tuwachung Municipality,Khotang,Koshi Province
7,Halesi Tuwachung Municipality,Khotang,Koshi Province
8,Halesi Tuwachung Municipality,Khotang,Koshi Province
9,Halesi Tuwachung Municipality,Khotang,Koshi Province
10,Halesi Tuwachung Municipality,Khotang,Koshi Province
11,Halesi Tuwachung Municipality,Khotang,Koshi Province
1,Khotehang Rural Municipality,Khotang,Koshi Province
2,Khotehang Rural Municipality,Khotang,Koshi Province
3,Khotehang Rural Municipality,Khotang,Koshi Province
4,Khotehang Rural Municipality,Khotang,Koshi Province
5,Khotehang Rural Municipality,Khotang,Koshi Province
6,Khotehang Rural Municipality,Khotang,Koshi Province
7,Khotehang Rural Municipality,Khotang,Koshi Province
8,Khotehang Rural Municipality,Khotang,Koshi Province
9,Khotehang Rural Municipality,Khotang,Koshi Province
1,Diprung Chuichumma Rural Municipality,Khotang,Koshi Province
2,Diprung Chuichumma Rural Municipality,Khotang,Koshi Province
3,Diprung Chuichumma Rural Municipality,Khotang,Koshi Province
4,Diprung Chuichumma Rural Municipality,Khotang,Koshi Province
5,Diprung Chuichumma Rural Municipality,Khotang,Koshi Province
6,Diprung Chuichumma Rural Municipality,Khotang,Koshi Province
7,Diprung Chuichumma Rural Municipality,Khotang,Koshi Province
1,Aiselukharka Rural Municipality,Khotang,Koshi Province
2,Aiselukharka Rural Municipality,Khotang,Koshi Province
3,Aiselukharka Rural Municipality,Khotang,Koshi Province
4,Aiselukharka Rural Municipality,Khotang,Koshi Province
5,Aiselukharka Rural Municipality,Khotang,Koshi Province
6,Aiselukharka Rural Municipality,Khotang,Koshi Province
7,Aiselukharka Rural Municipality,Khotang,Koshi Province
1,Jantedhunga Rural Municipality,Khotang,Koshi Province
2,Jantedhunga Rural Municipality,Khotang,Koshi Province
3,Jantedhunga Rural Municipality,Khotang,Koshi Province
4,Jantedhunga Rural Municipality,Khotang,Koshi Province
5,Jantedhunga Rural Municipality,Khotang,Koshi Province
6,Jantedhunga Rural Municipality,Khotang,Koshi Province
1,Kepilasgadhi Rural Municipality,Khotang,Koshi Province
2,Kepilasgadhi Rural Municipality,Khotang,Koshi Province
3,Kepilasgadhi Rural Municipality,Khotang,Koshi Province
4,Kepilasgadhi Rural Municipality,Khotang,Koshi Province
5,Kepilasgadhi Rural Municipality,Khotang,Koshi Province
6,Kepilasgadhi Rural Municipality,Khotang,Koshi Province
7,Kepilasgadhi Rural Municipality,Khotang,Koshi Province
1,Barahpokhari Rural Municipality,Khotang,Koshi Province
2,Barahpokhari Rural Municipality,Khotang,Koshi Province
3,Barahpokhari Rural Municipality,Khotang,Koshi Province
4,Barahpokhari Rural Municipality,Khotang,Koshi Province
5,Barahpokhari Rural Municipality,Khotang,Koshi Province
6,Barahpokhari Rural Municipality,Khotang,Koshi Province
1,Rawa Besi Rural Municipality,Khotang,Koshi Province
2,Rawa Besi Rural Municipality,Khotang,Koshi Province
3,Rawa Besi Rural Municipality,Khotang,Koshi Province
4,Rawa Besi Rural Municipality,Khotang,Koshi Province
5,Rawa Besi Rural Municipality,Khotang,Koshi Province
6,Rawa Besi Rural Municipality,Khotang,Koshi Province
1,Sakela Rural Municipality,Khotang,Koshi Province
2,Sakela Rural Municipality,Khotang,Koshi Province
3,Sakela Rural Municipality,Khotang,Koshi Province
4,Sakela Rural Municipality,Khotang,Koshi Province
5,Sakela Rural Municipality,Khotang,Koshi Province
1,Sundar Haraicha Municipality,Morang,Koshi Province
2,Sundar Haraicha Municipality,Morang,Koshi Province
3,Sundar Haraicha Municipality,Morang,Koshi Province
4,Sundar Haraicha Municipality,Morang,Koshi Province
5,Sundar Haraicha Municipality,Morang,Koshi Province
6,Sundar Haraicha Municipality,Morang,Koshi Province
7,Sundar Haraicha Municipality,Morang,Koshi Province
8,Sundar Haraicha Municipality,Morang,Koshi Province
9,Sundar Haraicha Municipality,Morang,Koshi Province
10,Sundar Haraicha Municipality,Morang,Koshi Province
11,Sundar Haraicha Municipality,Morang,Koshi Province
12,Sundar Haraicha Municipality,Morang,Koshi Province
1,Belbari Municipality,Morang,Koshi Province
2,Belbari Municipality,Morang,Koshi Province
3,Belbari Municipality,Morang,Koshi Province
4,Belbari Municipality,Morang,Koshi Province
5,Belbari Municipality,Morang,Koshi Province
6,Belbari Municipality,Morang,Koshi Province
7,Belbari Municipality,Morang,Koshi Province
8,Belbari Municipality,Morang,Koshi Province
9,Belbari Municipality,Morang,Koshi Province
10,Belbari Municipality,Morang,Koshi Province
11,Belbari Municipality,Morang,Koshi Province
1,Pathari Shanischare Municipality,Morang,Koshi Province
2,Pathari Shanischare Municipality,Morang,Koshi Province
3,Pathari Shanischare Municipality,Morang,Koshi Province
4,Pathari Shanischare Municipality,Morang,Koshi Province
5,Pathari Shanischare Municipality,Morang,Koshi Province
6,Pathari Shanischare Municipality,Morang,Koshi Province
7,Pathari Shanischare Municipality,Morang,Koshi Province
8,Pathari Shanischare Municipality,Morang,Koshi Province
9,Pathari Shanischare Municipality,Morang,Koshi Province
10,Pathari Shanischare Municipality,Morang,Koshi Province
1,Ratuwamai Municipality,Morang,Koshi Province
2,Ratuwamai Municipality,Morang,Koshi Province
3,Ratuwamai Municipality,Morang,Koshi Province
4,Ratuwamai Municipality,Morang,Koshi Province
5,Ratuwamai Municipality,Morang,Koshi Province
6,Ratuwamai Municipality,Morang,Koshi Province
7,Ratuwamai Municipality,Morang,Koshi Province
8,Ratuwamai Municipality,Morang,Koshi Province
9,Ratuwamai Municipality,Morang,Koshi Province
10,Ratuwamai Municipality,Morang,Koshi Province
1,Urlabari Municipality,Morang,Koshi Province
2,Urlabari Municipality,Morang,Koshi Province
3,Urlabari Municipality,Morang,Koshi Province
4,Urlabari Municipality,Morang,Koshi Province
5,Urlabari Municipality,Morang,Koshi Province
6,Urlabari Municipality,Morang,Koshi Province
7,Urlabari Municipality,Morang,Koshi Province
8,Urlabari Municipality,Morang,Koshi Province
9,Urlabari Municipality,Morang,Koshi Province
1,Rangeli Municipality,Morang,Koshi Province
2,Rangeli Municipality,Morang,Koshi Province
3,Rangeli Municipality,Morang,Koshi Province
4,Rangeli Municipality,Morang,Koshi Province
5,Rangeli Municipality,Morang,Koshi Province
6,Rangeli Municipality,Morang,Koshi Province
7,Rangeli Municipality,Morang,Koshi Province
8,Rangeli Municipality,Morang,Koshi Province
9,Rangeli Municipality,Morang,Koshi Province
1,Sunawarshi Municipality,Morang,Koshi Province
2,Sunawarshi Municipality,Morang,Koshi Province
3,Sunawarshi Municipality,Morang,Koshi Province
4,Sunawarshi Municipality,Morang,Koshi Province
5,Sunawarshi Municipality,Morang,Koshi Province
6,Sunawarshi Municipality,Morang,Koshi Province
7,Sunawarshi Municipality,Morang,Koshi Province
8,Sunawarshi Municipality,Morang,Koshi Province
9,Sunawarshi Municipality,Morang,Koshi Province
1,Letang Municipality,Morang,Koshi Province
2,Letang Municipality,Morang,Koshi Province
3,Letang Municipality,Morang,Koshi Province
4,Letang Municipality,Morang,Koshi Province
